cr2020-04-09-062816_Weises_Netzteil_Kabel_mit_Druckschalter.txt
Weises Netzteil, Kabel mit Druckschalter running for 10.0 minutes
Core data - After 383.4 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 386.9 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 388.2 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 394.4 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 395.5 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 396.7 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 399.1 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 401.5 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 402.7 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 405.1 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 406.3 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 407.4 seconds  | Throttled: 1010000000000000101 | Temperature: 47.2'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 408.6 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 414.6 seconds  | Throttled: 1010000000000000101 | Temperature: 47.8'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 417.0 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 418.2 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 419.4 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 425.4 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 426.6 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 433.7 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.3500V | Frequency: 1.40GHz
Core data - After 434.9 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 436.1 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 438.5 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 439.6 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 440.8 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 444.4 seconds  | Throttled: 1010000000000000101 | Temperature: 48.3'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 445.6 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 452.8 seconds  | Throttled: 1010000000000000101 | Temperature: 48.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 454.0 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 461.2 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 1.40GHz
Core data - After 462.4 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 465.9 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 467.1 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 468.3 seconds  | Throttled: 1010000000000000101 | Temperature: 49.9'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 469.5 seconds  | Throttled: 1010000000000000101 | Temperature: 49.4'C | Voltage: 1.2000V | Frequency: 0.60GHz
Core data - After 474.3 seconds  | Throttled: 1010000000000000101 | Temperature: 50.5'C | Voltage: 1.2000V | Frequency: 0.60GHz
