data/cr2020-05-01-114719_raspi41GB.txt
raspi41GB
Core data - After 298.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  72.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  31%  | [ 30%, 32%, 31%, 30%]
Core data - After 308.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  75.5°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 318.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  76.9°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 328.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  77.9°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  59%  | [ 59%, 59%, 59%, 59%]
Core data - After 338.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  79.4°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  59%  | [ 59%, 59%, 59%, 59%]
Core data - After 348.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  78.4°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  61%  | [ 61%, 61%, 61%, 61%]
Core data - After 358.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.8°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  59%  | [ 59%, 59%, 59%, 59%]
Core data - After 368.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  79.4°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 61%, 60%, 60%, 60%]
Core data - After 378.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
Core data - After 388.6 seconds | CPU:  ok | Voltage:  ok | arm freq:  ok    | throttled:  no | Temp:  80.3°C | Volt: 0.8500V | Freq: 1.50GHz | Load:  60%  | [ 60%, 60%, 60%, 60%]
